-3.892972,13.091495,10.400413,-0.009558,-0.054163,0.027612,64
2.212242,2.145205,9.682152,-0.014868,-0.02124,-0.002124,64
-5.84664,12.354081,-2.183512,-0.00531,-0.046729,-0.013806,64
-2.662352,11.420342,12.962208,0.117883,-0.047791,-0.014868,64
-0.608127,3.945645,-3.337517,0.166736,-0.04248,0.022302,64
-5.798756,14.33648,2.403779,0.130627,0.016992,-0.007434,64
-1.695095,8.42759,5.348647,0.264441,-0.099829,0.032922,64
-1.690306,8.092402,3.806781,0.189038,-0.139124,0.009558,64
-1.623269,8.082825,3.433285,0.210278,-0.18479,-0.018054,64
-1.570596,8.020576,3.620033,0.032922,-0.082837,-0.084961,64
-1.16837,8.149863,3.643975,0.117883,-0.17417,-0.01062,64
-0.943315,8.250419,3.701436,0.129565,-0.251697,-0.122131,64
-1.101333,6.83784,3.643975,0.160364,-0.20603,-0.047791,64
-0.306458,7.173029,2.303222,-0.040356,0.04248,-0.113635,64
-0.301669,6.406884,1.766921,0.590479,-1.06626,-0.014868,64
-0.263362,6.05733,1.44131,0.379138,-1.747009,0.661633,64
1.651999,5.966351,2.547431,-0.220898,-0.944128,0.851733,64
0.699107,4.802769,3.969586,-0.891028,-0.451355,0.862354,64
1.651999,4.376601,3.921703,-0.852795,-1.150159,1.166089,64
1.881843,4.481946,4.113238,-2.028442,-0.697742,1.187329,64
2.695871,3.462016,5.233725,-2.630603,-0.379138,1.077942,64
2.470816,2.025495,5.425261,-2.730432,-1.026965,1.356189,64
3.667917,-0.560243,4.74052,-2.54989,-1.115112,1.950916,64
4.381389,-1.848324,7.503428,-3.371887,-0.783765,1.885071,64
5.449203,-4.697424,8.446744,-4.182202,-0.151868,1.529297,64
7.187394,-5.152322,12.109872,-4.804541,-0.402502,1.40398,64
6.488287,-8.954314,12.617443,-4.043079,-0.094519,1.131043,64
7.460333,-9.892841,14.417883,-4.536914,-0.135937,0.972803,64
7.115568,-8.60955,13.575124,-3.491894,-0.613843,0.888904,64
5.913678,-7.398083,12.148179,-2.395898,-0.007434,0.825183,64
5.051766,-6.603208,9.89763,-1.737451,0.16355,0.534192,64
4.946421,-5.928043,9.797073,-0.771021,0.209216,0.412061,64
6.80911,-4.161122,12.004527,0.159302,0.16355,0.283557,64
7.192182,-5.137956,12.660539,1.559033,-0.094519,-0.139124,64
7.522582,-6.660669,14.173674,2.120838,0.539502,-0.531006,64
